Status,Is_Dropout,Course_Name,Gender_Label,Age_at_enrollment,Age_Group,Scholarship_Label,Tuition_Label,Debtor_Label,Marital_Label,Admission_grade,Previous_qualification_grade,Curricular_units_1st_sem_approved,Curricular_units_2nd_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_grade,Sem1_Approved_Group,Sem2_Approved_Group,Sem2_Grade_Group,Unemployment_rate,GDP
Dropout,1,Management (Evening),Perempuan,29,>25 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,109.7,133.1,0,0,0.0,0.0,0 Unit,0 Unit,Tidak Lulus (0),16.2,-0.92
Enrolled,0,Management (Evening),Perempuan,24,23-25 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,134.1,154.0,2,3,11.5,14.333333333333334,1-3 Unit,1-3 Unit,Tinggi (15-20),7.6,0.32
Graduate,0,Social Service,Perempuan,18,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,127.6,130.0,6,5,11.666666666666666,13.2,4-6 Unit,4-6 Unit,Sedang (11-14),11.1,2.02
Graduate,0,Nursing,Perempuan,22,20-22 Tahun,Ya,Tepat Waktu,Tidak,Lajang,132.4,132.0,6,7,13.516666666666666,13.771428571428572,4-6 Unit,7+ Unit,Sedang (11-14),11.1,2.02
Graduate,0,Social Service (Evening),Perempuan,21,20-22 Tahun,Ya,Tepat Waktu,Tidak,Lajang,133.4,130.0,6,6,11.5,13.285714285714286,4-6 Unit,4-6 Unit,Sedang (11-14),12.4,1.79
Graduate,0,Social Service,Perempuan,19,<20 Tahun,Ya,Tepat Waktu,Tidak,Lajang,126.1,139.0,5,6,12.333333333333334,12.833333333333334,4-6 Unit,4-6 Unit,Sedang (11-14),12.7,-1.7
Graduate,0,Tourism,Perempuan,24,23-25 Tahun,Ya,Tepat Waktu,Tidak,Lajang,113.5,130.0,6,6,13.666666666666666,14.166666666666666,4-6 Unit,4-6 Unit,Tinggi (15-20),12.4,1.79
Enrolled,0,Nursing,Perempuan,19,<20 Tahun,Ya,Tepat Waktu,Tidak,Lajang,121.3,139.0,6,6,11.833333333333334,11.833333333333334,4-6 Unit,4-6 Unit,Sedang (11-14),9.4,-3.12
Enrolled,0,Journalism & Communication,Perempuan,20,20-22 Tahun,Ya,Tepat Waktu,Tidak,Lajang,121.8,127.0,4,3,14.0,11.0,4-6 Unit,1-3 Unit,Sedang (11-14),9.4,-3.12
Graduate,0,Equinculture,Perempuan,19,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,159.3,167.0,5,5,14.714285714285714,15.8,4-6 Unit,4-6 Unit,Tinggi (15-20),7.6,0.32
Dropout,1,Management (Evening),Perempuan,27,>25 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,120.0,130.0,5,5,10.6,11.0,4-6 Unit,4-6 Unit,Sedang (11-14),9.4,-3.12
Graduate,0,Nursing,Perempuan,18,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,129.1,130.0,7,8,13.044444444444444,13.595,7+ Unit,7+ Unit,Sedang (11-14),15.5,-4.06
Dropout,1,Tourism,Perempuan,39,>25 Tahun,Tidak,Tepat Waktu,Tidak,Menikah,130.0,130.0,0,0,0.0,0.0,0 Unit,0 Unit,Tidak Lulus (0),12.4,1.79
Dropout,1,Equinculture,Perempuan,27,>25 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,155.3,129.0,5,10,13.0,12.9,4-6 Unit,7+ Unit,Sedang (11-14),12.4,1.79
Graduate,0,Nursing,Perempuan,18,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,139.8,141.0,8,8,14.935,14.935,7+ Unit,7+ Unit,Tinggi (15-20),9.4,-3.12
Enrolled,0,Animation & Multimedia Design,Perempuan,18,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,115.2,125.0,0,0,0.0,0.0,0 Unit,0 Unit,Tidak Lulus (0),7.6,0.32
Graduate,0,Nursing,Perempuan,18,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,114.9,125.0,6,7,13.133333333333333,12.221428571428572,4-6 Unit,7+ Unit,Sedang (11-14),16.2,-0.92
Graduate,0,Social Service,Perempuan,21,20-22 Tahun,Ya,Tepat Waktu,Tidak,Lajang,131.9,130.0,6,6,12.0,12.0,4-6 Unit,4-6 Unit,Sedang (11-14),13.9,0.79
Enrolled,0,Animation & Multimedia Design,Laki-laki,19,<20 Tahun,Ya,Tepat Waktu,Tidak,Lajang,126.0,133.0,0,0,0.0,0.0,0 Unit,0 Unit,Tidak Lulus (0),10.8,1.74
Enrolled,0,Communication Design,Laki-laki,19,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,130.2,127.0,5,1,11.4,10.0,4-6 Unit,1-3 Unit,Rendah (1-10),10.8,1.74
Enrolled,0,Communication Design,Laki-laki,24,23-25 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,120.9,116.0,0,0,0.0,0.0,0 Unit,0 Unit,Tidak Lulus (0),12.7,-1.7
Dropout,1,Nursing,Laki-laki,29,>25 Tahun,Tidak,Tepat Waktu,Tidak,Cerai,126.0,133.1,5,5,11.9,11.0,4-6 Unit,4-6 Unit,Sedang (11-14),13.9,0.79
Graduate,0,Animation & Multimedia Design,Laki-laki,19,<20 Tahun,Ya,Tepat Waktu,Tidak,Lajang,128.2,139.0,0,0,0.0,0.0,0 Unit,0 Unit,Tidak Lulus (0),10.8,1.74
Graduate,0,Agronomy,Laki-laki,23,23-25 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,130.0,130.0,6,6,12.571428571428571,12.428571428571429,4-6 Unit,4-6 Unit,Sedang (11-14),8.9,3.51
Dropout,1,Management,Laki-laki,19,<20 Tahun,Tidak,Tepat Waktu,Memiliki Tunggakan,Lajang,120.1,125.0,5,4,11.2,10.75,4-6 Unit,4-6 Unit,Sedang (11-14),16.2,-0.92
Enrolled,0,Tourism,Laki-laki,26,>25 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,100.0,160.0,6,5,12.0,10.8,4-6 Unit,4-6 Unit,Sedang (11-14),12.7,-1.7
Enrolled,0,Management,Laki-laki,18,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,134.0,148.0,0,0,0.0,0.0,0 Unit,0 Unit,Tidak Lulus (0),7.6,0.32
Graduate,0,Nursing,Laki-laki,24,23-25 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,130.8,150.0,7,8,11.975,13.75,7+ Unit,7+ Unit,Sedang (11-14),13.9,0.79
Dropout,1,Animation & Multimedia Design,Laki-laki,19,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,135.8,141.0,0,0,0.0,0.0,0 Unit,0 Unit,Tidak Lulus (0),15.5,-4.06
Dropout,1,Tourism,Laki-laki,18,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,111.7,118.0,3,1,11.666666666666666,12.0,1-3 Unit,1-3 Unit,Sedang (11-14),12.4,1.79
Graduate,0,Journalism & Communication,Laki-laki,18,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,132.9,142.0,6,3,12.333333333333334,12.333333333333334,4-6 Unit,1-3 Unit,Sedang (11-14),10.8,1.74
Dropout,1,Management,Laki-laki,18,<20 Tahun,Tidak,Tepat Waktu,Memiliki Tunggakan,Lajang,115.5,120.0,3,3,10.333333333333334,10.857142857142858,1-3 Unit,1-3 Unit,Sedang (11-14),10.8,1.74
Dropout,1,Tourism,Laki-laki,21,20-22 Tahun,Ya,Tepat Waktu,Tidak,Lajang,106.0,106.0,4,1,10.5,11.0,4-6 Unit,1-3 Unit,Sedang (11-14),9.4,-3.12
Graduate,0,Journalism & Communication,Laki-laki,19,<20 Tahun,Ya,Tepat Waktu,Memiliki Tunggakan,Lajang,120.3,121.0,6,6,13.666666666666666,13.333333333333334,4-6 Unit,4-6 Unit,Sedang (11-14),8.9,3.51
Graduate,0,Nursing,Laki-laki,22,20-22 Tahun,Ya,Tepat Waktu,Tidak,Lajang,130.8,150.0,7,8,14.842857142857142,15.055555555555555,7+ Unit,7+ Unit,Tinggi (15-20),16.2,-0.92
Graduate,0,Social Service (Evening),Laki-laki,33,>25 Tahun,Tidak,Tepat Waktu,Tidak,Menikah,117.0,120.0,6,6,12.0,11.666666666666666,4-6 Unit,4-6 Unit,Sedang (11-14),10.8,1.74
Dropout,1,Basic Education,Laki-laki,20,20-22 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,110.2,114.0,5,5,12.2,12.2,4-6 Unit,4-6 Unit,Sedang (11-14),10.8,1.74
Dropout,1,Management (Evening),Laki-laki,35,>25 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,155.7,140.0,0,0,0.0,0.0,0 Unit,0 Unit,Tidak Lulus (0),10.8,1.74
Dropout,1,Agronomy,Laki-laki,24,23-25 Tahun,Tidak,Tepat Waktu,Memiliki Tunggakan,Lajang,180.4,160.0,6,10,12.166666666666666,13.3,4-6 Unit,7+ Unit,Sedang (11-14),12.4,1.79
Enrolled,0,Tourism,Laki-laki,18,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,125.5,120.0,5,3,12.0,11.333333333333334,4-6 Unit,1-3 Unit,Sedang (11-14),12.7,-1.7
Graduate,0,Social Service (Evening),Perempuan,33,>25 Tahun,Tidak,Tepat Waktu,Tidak,Menikah,110.0,130.0,6,5,11.0,11.0,4-6 Unit,4-6 Unit,Sedang (11-14),9.4,-3.12
Graduate,0,Nursing,Perempuan,22,20-22 Tahun,Ya,Tepat Waktu,Tidak,Lajang,161.0,160.0,7,7,13.08,13.08,7+ Unit,7+ Unit,Sedang (11-14),10.8,1.74
Graduate,0,Advertising & Marketing Mgmt,Perempuan,25,23-25 Tahun,Ya,Tepat Waktu,Tidak,Lajang,100.0,120.0,4,5,10.5,11.6,4-6 Unit,4-6 Unit,Sedang (11-14),9.4,-3.12
Graduate,0,Communication Design,Laki-laki,20,20-22 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,117.6,124.0,6,5,10.666666666666666,11.2,4-6 Unit,4-6 Unit,Sedang (11-14),7.6,0.32
Enrolled,0,Management,Laki-laki,23,23-25 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,128.7,143.0,4,5,14.0,13.8,4-6 Unit,4-6 Unit,Sedang (11-14),11.1,2.02
Enrolled,0,Informatics Engineering,Laki-laki,18,<20 Tahun,Tidak,Tepat Waktu,Memiliki Tunggakan,Lajang,112.2,115.0,2,0,10.0,0.0,1-3 Unit,0 Unit,Tidak Lulus (0),15.5,-4.06
Dropout,1,Nursing,Laki-laki,24,23-25 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,100.8,133.1,0,0,0.0,0.0,0 Unit,0 Unit,Tidak Lulus (0),13.9,0.79
Graduate,0,Journalism & Communication,Perempuan,21,20-22 Tahun,Tidak,Menunggak,Tidak,Lajang,105.0,133.1,6,6,14.0,13.5,4-6 Unit,4-6 Unit,Sedang (11-14),8.9,3.51
Dropout,1,Equinculture,Perempuan,26,>25 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,100.0,133.1,2,0,12.0,0.0,1-3 Unit,0 Unit,Tidak Lulus (0),8.9,3.51
Dropout,1,Basic Education,Perempuan,39,>25 Tahun,Tidak,Tepat Waktu,Tidak,Menikah,115.5,133.1,3,0,12.666666666666666,0.0,1-3 Unit,0 Unit,Tidak Lulus (0),7.6,0.32
Graduate,0,Social Service (Evening),Perempuan,44,>25 Tahun,Tidak,Tepat Waktu,Tidak,Menikah,114.0,133.1,8,6,11.875,12.333333333333334,7+ Unit,4-6 Unit,Sedang (11-14),12.7,-1.7
Enrolled,0,Informatics Engineering,Laki-laki,19,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,137.0,130.0,5,3,14.0,13.25,4-6 Unit,1-3 Unit,Sedang (11-14),13.9,0.79
Graduate,0,Journalism & Communication,Perempuan,18,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,124.9,135.0,6,6,13.666666666666666,13.333333333333334,4-6 Unit,4-6 Unit,Sedang (11-14),8.9,3.51
Graduate,0,Nursing,Perempuan,18,<20 Tahun,Ya,Tepat Waktu,Tidak,Lajang,120.3,132.0,7,8,13.75,14.47777777777778,7+ Unit,7+ Unit,Tinggi (15-20),12.4,1.79
Enrolled,0,Veterinary Nursing,Perempuan,19,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,134.3,135.0,5,5,14.2,13.8,4-6 Unit,4-6 Unit,Sedang (11-14),12.7,-1.7
Dropout,1,Nursing,Perempuan,19,<20 Tahun,Tidak,Menunggak,Memiliki Tunggakan,Lajang,111.5,115.0,4,0,11.96,0.0,4-6 Unit,0 Unit,Tidak Lulus (0),13.9,0.79
Dropout,1,Veterinary Nursing,Perempuan,21,20-22 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,128.8,130.0,8,5,12.875,13.4,7+ Unit,4-6 Unit,Sedang (11-14),8.9,3.51
Graduate,0,Animation & Multimedia Design,Perempuan,20,20-22 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,110.0,133.1,0,0,0.0,0.0,0 Unit,0 Unit,Tidak Lulus (0),16.2,-0.92
Dropout,1,Social Service (Evening),Perempuan,36,>25 Tahun,Tidak,Tepat Waktu,Tidak,Menikah,113.5,130.0,0,0,0.0,0.0,0 Unit,0 Unit,Tidak Lulus (0),9.4,-3.12
Graduate,0,Agronomy,Perempuan,43,>25 Tahun,Tidak,Tepat Waktu,Tidak,Cerai,160.0,133.1,18,13,14.63157894736842,14.23076923076923,7+ Unit,7+ Unit,Tinggi (15-20),15.5,-4.06
Dropout,1,Basic Education,Perempuan,19,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,117.4,123.0,0,0,0.0,0.0,0 Unit,0 Unit,Tidak Lulus (0),11.1,2.02
Graduate,0,Communication Design,Perempuan,20,20-22 Tahun,Tidak,Tepat Waktu,Memiliki Tunggakan,Lajang,122.2,130.0,10,11,13.0,12.272727272727272,7+ Unit,7+ Unit,Sedang (11-14),11.1,2.02
Dropout,1,Social Service,Perempuan,19,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,118.2,122.0,0,0,0.0,0.0,0 Unit,0 Unit,Tidak Lulus (0),16.2,-0.92
Dropout,1,Veterinary Nursing,Perempuan,20,20-22 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,106.7,113.0,4,4,14.2,13.25,4-6 Unit,4-6 Unit,Sedang (11-14),15.5,-4.06
Dropout,1,Nursing,Perempuan,20,20-22 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,108.2,111.0,6,5,13.266666666666666,12.3,4-6 Unit,4-6 Unit,Sedang (11-14),12.4,1.79
Enrolled,0,Basic Education,Perempuan,20,20-22 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,107.0,133.1,6,3,11.666666666666666,13.0,4-6 Unit,1-3 Unit,Sedang (11-14),16.2,-0.92
Graduate,0,Social Service,Perempuan,18,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,136.1,142.0,6,6,13.857142857142858,15.0,4-6 Unit,4-6 Unit,Tinggi (15-20),13.9,0.79
Enrolled,0,Management,Perempuan,18,<20 Tahun,Ya,Tepat Waktu,Tidak,Lajang,115.3,123.0,3,3,13.0,11.0,1-3 Unit,1-3 Unit,Sedang (11-14),8.9,3.51
Graduate,0,Veterinary Nursing,Perempuan,19,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,139.8,131.0,5,5,13.4,12.8,4-6 Unit,4-6 Unit,Sedang (11-14),10.8,1.74
Graduate,0,Journalism & Communication,Perempuan,18,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,157.0,158.0,6,6,12.666666666666666,12.571428571428571,4-6 Unit,4-6 Unit,Sedang (11-14),10.8,1.74
Dropout,1,Nursing,Perempuan,18,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,131.0,122.0,6,6,12.516666666666666,12.516666666666666,4-6 Unit,4-6 Unit,Sedang (11-14),7.6,0.32
Enrolled,0,Nursing,Perempuan,20,20-22 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,100.0,130.0,6,7,11.616666666666667,13.0,4-6 Unit,7+ Unit,Sedang (11-14),13.9,0.79
Enrolled,0,Social Service,Perempuan,20,20-22 Tahun,Ya,Tepat Waktu,Tidak,Lajang,140.4,154.0,2,4,10.0,10.75,1-3 Unit,4-6 Unit,Sedang (11-14),7.6,0.32
Enrolled,0,Management,Perempuan,20,20-22 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,113.4,120.0,3,3,10.333333333333334,10.666666666666666,1-3 Unit,1-3 Unit,Sedang (11-14),12.4,1.79
Graduate,0,Veterinary Nursing,Perempuan,18,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,137.0,140.0,5,5,13.142857142857142,11.4,4-6 Unit,4-6 Unit,Sedang (11-14),9.4,-3.12
Graduate,0,Management,Perempuan,18,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,121.8,127.0,5,5,12.6,14.0,4-6 Unit,4-6 Unit,Sedang (11-14),11.1,2.02
Dropout,1,Tourism,Perempuan,21,20-22 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,131.0,133.1,3,2,11.0,11.0,1-3 Unit,1-3 Unit,Sedang (11-14),9.4,-3.12
Graduate,0,Management,Perempuan,19,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,118.6,120.0,5,4,10.8,11.25,4-6 Unit,4-6 Unit,Sedang (11-14),16.2,-0.92
Dropout,1,Animation & Multimedia Design,Perempuan,19,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,122.3,137.0,0,0,0.0,0.0,0 Unit,0 Unit,Tidak Lulus (0),10.8,1.74
